,note_files,key_id,note_names,include,alpha,beta,half_life,last_test
0,16_Note-Bass-C2.png,36,C2,False,,,,
1,17_Note-Bass-C2s.png,37,C2s,False,,,,
2,17_Note-Bass-D2b.png,37,D2b,False,,,,
3,18_Note-Bass-D2.png,38,D2,False,,,,
4,19_Note-Bass-D2s.png,39,D2s,False,,,,
5,19_Note-Bass-E2b.png,39,E2b,False,,,,
6,20_Note-Bass-E2.png,40,E2,False,,,,
7,21_Note-Bass-F2.png,41,F2,False,,,,
8,22_Note-Bass-F2s.png,42,F2s,False,,,,
9,22_Note-Bass-G2b.png,42,G2b,False,,,,
10,23_Note-Bass-G2.png,43,G2,False,,,,
11,24_Note-Bass-A2b.png,44,A2b,False,,,,
12,24_Note-Bass-G2s.png,44,G2s,False,,,,
13,25_Note-Bass-A2.png,45,A2,False,,,,
14,26_Note-Bass-A2s.png,46,A2s,False,,,,
15,26_Note-Bass-B2b.png,46,B2b,False,,,,
16,27_Note-Bass-B2.png,47,B2,False,,,,
17,28_Note-Bass-C3.png,48,C3,False,,,,
18,29_Note-Bass-C3s.png,49,C3s,False,,,,
19,29_Note-Bass-D3b.png,49,D3b,False,,,,
20,30_Note-Bass-D3.png,50,D3,False,,,,
21,31_Note-Bass-D3s.png,51,D3s,False,,,,
22,31_Note-Bass-E3b.png,51,E3b,False,,,,
23,32_Note-Bass-E3.png,52,E3,False,,,,
24,33_Note-Bass-F3.png,53,F3,False,,,,
25,34_Note-Bass-F3s.png,54,F3s,False,,,,
26,34_Note-Bass-G3b.png,54,G3b,False,,,,
27,35_Note-Bass-G3.png,55,G3,False,,,,
28,36_Note-Bass-A3b.png,56,A3b,False,,,,
29,36_Note-Bass-G3s.png,56,G3s,False,,,,
30,36_Note-Treble-A3b.png,56,A3b,False,,,,
31,37_Note-Bass-A3.png,57,A3,False,,,,
32,37_Note-Treble-A3.png,57,A3,False,,,,
33,38_Note-Bass-A3s.png,58,A3s,False,,,,
34,38_Note-Bass-B3b.png,58,B3b,False,,,,
35,38_Note-Treble-A3s.png,58,A3s,False,,,,
36,38_Note-Treble-B3b.png,58,B3b,False,,,,
37,39_Note-Bass-B3.png,59,B3,False,,,,
38,39_Note-Treble-B3.png,59,B3,False,,,,
39,40_Note-Bass-C4.png,60,C4,False,,,,
40,40_Note-Treble-C4.png,60,C4,False,,,,
41,41_Note-Bass-C4s.png,61,C4s,False,,,,
42,41_Note-Bass-D4b.png,61,D4b,False,,,,
43,41_Note-Treble-C4s.png,61,C4s,False,,,,
44,41_Note-Treble-D4b.png,61,D4b,False,,,,
45,42_Note-Bass-D4.png,62,D4,False,,,,
46,42_Note-Treble-D4.png,62,D4,False,,,,
47,43_Note-Bass-D4s.png,63,D4s,False,,,,
48,43_Note-Bass-E4b.png,63,E4b,False,,,,
49,43_Note-Treble-D4s.png,63,D4s,False,,,,
50,43_Note-Treble-E4b.png,63,E4b,False,,,,
51,44_Note-Bass-E4.png,64,E4,False,,,,
52,44_Note-Treble-E4.png,64,E4,False,,,,
53,45_Note-Treble-F4.png,65,F4,False,,,,
54,46_Note-Treble-F4s.png,66,F4s,False,,,,
55,46_Note-Treble-G4b.png,66,G4b,False,,,,
56,47_Note-Treble-G4.png,67,G4,False,,,,
57,48_Note-Treble-A4b.png,68,A4b,False,,,,
58,48_Note-Treble-G4s.png,68,G4s,False,,,,
59,49_Note-Treble-A4.png,69,A4,False,,,,
60,50_Note-Treble-A4s.png,70,A4s,False,,,,
61,50_Note-Treble-B4b.png,70,B4b,False,,,,
62,51_Note-Treble-B4.png,71,B4,False,,,,
63,52_Note-Treble-C5.png,72,C5,False,,,,
64,53_Note-Treble-C5s.png,73,C5s,False,,,,
65,53_Note-Treble-D5b.png,73,D5b,False,,,,
66,54_Note-Treble-D5.png,74,D5,False,,,,
67,55_Note-Treble-D5s.png,75,D5s,False,,,,
68,55_Note-Treble-E5b.png,75,E5b,False,,,,
69,56_Note-Treble-E5.png,76,E5,False,,,,
70,57_Note-Treble-F5.png,77,F5,False,,,,
71,58_Note-Treble-F5s.png,78,F5s,False,,,,
72,58_Note-Treble-G5b.png,78,G5b,False,,,,
73,59_Note-Treble-G5.png,79,G5,False,,,,
74,60_Note-Treble-A5b.png,80,A5b,False,,,,
75,60_Note-Treble-G5s.png,80,G5s,False,,,,
76,61_Note-Treble-A5.png,81,A5,False,,,,
77,62_Note-Treble-A5s.png,82,A5s,False,,,,
78,62_Note-Treble-B5b.png,82,B5b,False,,,,
79,63_Note-Treble-B5.png,83,B5,False,,,,
